"R0000100","R4893600","R4893700","R4893800","R4893900","R4894000","R5459400","R5464100","R5473500","R5484100","R5532200","R5532300","R5532400","R5532500","R5532600","R7222400","R7227800","R7237200","R7248400","R7273600","R7273700","R7273800","R7273900","R7274000","R7274100","S0920800","S0920900","S0921000","S0921100","S0921200","S1530100","S1530200","S1530300","S1530400","S1530500","S1530600","S1530700","S1530800","S1530900","S1531000","S1535500","S1541700","S1552500","S1564300","S2000000","S2000100","S2000200","S2000300","S2000400","S2000500","S2000600","S2005400","S2011500","S2022300","S2034400","S3800000","S3800100","S3800200","S3800300","S3800400","S3800500","S3800600","S3800700","S3805700","S3812400","S3823200","S3835800","S4681900","S4682000","S4682100","S4682200","S4682300","S5400000","S5400100","S5400200","S5400300","S5400400","S5400500","S5400600","S5405600","S5412800","S5423200","S5436300","S7500000","S7500100","S7500200","S7500300","S7500400","S7500500","S7500600","S7500700","S7500800","S7506100","S7513700","S7525300","S7537100","S8332300","S8332400","S8332500","S8332600","S8332700","T0007500","T0007600","T0007700","T0007800","T0007900","T0008000","T0009400","T0014100","T0025600","T0033700","T2009900","T2010000","T2010100","T2010200","T2010300","T2010400","T2010500","T2010600","T2010700","T2012100","T2016200","T2020500","T2021300","T2782600","T2782700","T2782800","T2782900","T2783000","T3600200","T3600300","T3600400","T3600500","T3600600","T3600700","T3600800","T3600900","T3601000","T3601100","T3602100","T3606500","T3611200","T3612000","T5200700","T5200800","T5200900","T5201000","T5201100","T5201200","T5202300","T5206900","T5211600","T5211900","T6143700","T6143800","T6143900","T6144000","T6144100"
1,3,3,3,3,3,1,128000,3,1,-4,-4,-4,-4,-4,1,177000,3,1,-4,-4,-4,-4,-4,-4,1,4,2,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,128000,3,1,-4,-4,-4,-4,-4,-4,-4,1,185000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,200000,3,1,1,4,1,4,1,-4,-4,-4,-4,-4,-4,-4,1,210000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,321273,3,1,1,4,1,4,1,-4,-4,-4,-4,-4,-4,1,125000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,42500,3,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,143500,3,1,-4,-4,-4,-4,-4,-4,1,47000,3,1,3,3,3,3,3
2,4,3,3,2,4,1,84000,3,1,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,4,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,1,75000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,40761,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,55000,3,1,-4,-4,-4,-4,-4,-4,1,52000,3,1,4,2,4,2,4
3,4,2,4,1,4,1,-4,3,1,-4,-4,-4,-4,-4,1,-4,3,1,-4,-4,-4,-4,-4,-4,3,3,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,99000,3,1,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,2,3,2,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,2,-4,-4,-4,-4,-4,-4,-4,-4,3,26250,4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4,4,2,4,2,4,1,-3,3,1,-4,-4,-4,-4,-4,1,21000,3,1,-4,-4,-4,-4,-4,-4,4,2,4,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,55000,3,1,-4,-4,-4,-4,-4,-4,-4,1,44000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,1,50170,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,119000,3,1,4,1,4,1,4,3,-4,-4,-4,-4,-4,1,62000,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,2,1,4,2,4,1,4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,97000,3,1,-4,-4,-4,-4,-4,-4,1,74000,3,1,4,2,4,1,4
5,4,2,2,3,3,1,59500,3,1,3,1,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,4,3,3,2,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,70500,3,1,-4,-4,-4,-4,-4,-4,-4,1,12000,3,1,-3,-3,-4,-4,-4,-4,-4,-4,1,100000,3,1,4,2,3,2,3,-4,-4,-4,-4,-4,-4,-4,1,82500,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,162000,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,1,153700,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,131000,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,313365,3,1,-4,-4,-4,-4,-4,-4,1,129750,3,1,4,1,4,1,4
6,3,3,2,2,4,1,6300,3,1,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,4,2,4,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,3,1,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,37500,3,1,4,1,4,2,4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,67500,3,1,4,1,4,1,4,-4,-4,-4,-4,-4,-4,1,55000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,55250,3,1,4,1,4,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,53550,3,1,-4,-4,-4,-4,-4,-4,1,70450,3,1,4,1,4,1,4
7,4,3,3,2,4,1,-4,3,1,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,3,3,3,3,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,1,-3,2,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,13500,2,1,4,3,3,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,2,1,-4,-4,-4,-4,-4,-4,1,97990,2,1,2,3,3,2,2
8,3,4,3,2,4,1,63000,3,1,-4,-4,-4,-4,-4,1,64000,3,1,4,-4,-4,-4,-4,-4,3,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,86000,3,1,-4,-4,-4,-4,-4,-4,-4,1,96000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,90000,3,1,3,3,3,2,4,4,-4,-4,-4,-4,-4,-4,1,45000,3,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,35750,5,-4,3,2,3,2,4,-4,-4,-4,-4,-4,-4,-4,28750,5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,4,4,-4,-4,-4,-4,-4,-4,-4,-4,1,18750,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
9,3,3,3,3,3,1,93500,3,1,-4,-4,-4,-4,-4,1,75000,3,1,-4,-4,-4,-4,-4,-4,3,2,3,2,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,0,3,1,-4,-4,-4,-4,-4,-4,-4,1,85000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,79000,3,1,3,3,3,3,4,-4,-4,-4,-4,-4,-4,-4,1,99000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,72500,3,1,4,1,4,1,4,-4,-4,-4,-4,-4,-4,1,50000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,99000,3,1,4,2,4,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,177000,3,1,-4,-4,-4,-4,-4,-4,1,94000,3,1,3,3,4,3,4
10,3,3,3,2,4,1,-4,3,1,-4,-4,-4,-4,-4,1,-4,3,1,-4,-4,-4,-4,-4,-4,3,3,3,3,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,5000,3,1,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,75000,3,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,-4,1,39250,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,75000,3,1,3,3,3,2,3,-4,-4,-4,-4,-4,-4,1,100000,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,135750,3,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,3,3,4,2,4,1,0,3,1,3,-4,-4,-4,-4,1,3000,3,1,3,-4,-4,-4,-4,-4,3,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,34250,3,1,-4,-4,-4,-4,-4,-4,-4,2,-3,1,1,4,-4,-4,-4,-4,-4,-4,-4,1,17500,3,1,2,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,1,130808,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,77598,3,1,3,3,3,3,3,-4,-4,-4,-4,-4,-4,1,92458,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,39250,3,1,3,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,1,-3,3,1,3,-2,2,3,2
12,4,3,4,1,4,1,63000,3,1,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,4,2,3,1,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,94700,3,1,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,2,3,1,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-3,3,1,4,3,3,2,4,-4,-4,-4,-4,-4,-4,1,45250,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,51000,3,1,4,3,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,61500,3,1,-4,-4,-4,-4,-4,-4,1,56000,3,1,4,3,3,1,4
13,3,3,2,3,3,1,-4,3,1,-4,-4,-4,-4,-4,1,-3,3,1,-4,-4,-4,-4,-4,-4,4,4,3,2,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-4,3,1,-4,-4,-4,-4,-4,-4,-4,1,45250,3,1,-4,-4,-4,-4,-4,-4,-4,-4,1,10650,3,1,4,3,2,3,4,-4,-4,-4,-4,-4,-4,-4,1,2520,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,21970,3,1,3,2,3,2,4,-4,-4,-4,-4,-4,-4,1,17250,3,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,37500,3,1,3,3,2,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,55000,3,1,2,-4,-4,-4,-4,-4,1,-3,3,1,3,3,3,3,3
